Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
192,Islam Makhachev,Davi Ramos,-380,315,Red,Paul Craig,Gadzhimurad Antigulov,-137,110,Red,72.99270073,110
193,Curtis Blaydes,Shamil Abdurakhimov,-550,425,Red,Alex Oliveira,Peter Sobotta,-182,145,Red,54.94505495,145
194,Mairbek Taisumov,Diego Ferreira,-245,205,Blue,Khamzat Chimaev,Rhys McKee,-1250,700,Red,8,700
195,Joanne Calderwood,Andrea Lee,210,-250,Red,Francisco Trinaldo,Jai Herbert,-134,108,Red,74.62686567,108
196,Zubaira Tukhugov,Lerone Murphy,-300,250,Draw,Nicolas Dalby,Jesse Ronson,-265,205,Blue,37.73584906,205
197,Liana Jojua,Sarah Moras,-155,135,Blue,Tom Aspinall,Jake Collier,-278,220,Red,35.97122302,220
198,Ottman Azaitar,Teemu Packalen,-190,165,Red,Movsar Evloev,Mike Grundy,-200,161,Red,50,161
199,Belal Muhammad,Takashi Sato,-390,320,Red,Tanner Boser,Raphael Pessoa,-278,220,Red,35.97122302,220
200,Nordine Taleb,Muslim Salikhov,-130,110,Blue,Bethe Correia,Pannie Kianzad,131,-162,Blue,131,61.72839506
201,Omari Akhmedov,Zak Cummings,-125,105,Red,Ramazan Emeev,Niklas Stolze,-400,300,Red,25,300
202,Don Madge,Fares Ziam,-190,165,Red,Nathaniel Wood,John Castaneda,-455,320,Red,21.97802198,320
203,Donald Cerrone,Justin Gaethje,160,-185,Blue,Deiveson Figueiredo,Joseph Benavidez,-225,180,Red,44.44444444,180
204,Glover Teixeira,Nikita Krylov,-115,-105,Red,Jack Hermansson,Kelvin Gastelum,-112,-112,Red,89.28571429,89.28571429
205,Michel Pereira,Tristan Connelly,-460,365,Blue,Marc Diakiese,Rafael Fiziev,-167,135,Blue,59.88023952,135
