Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Tim Elliott,Ryan Benoit,-141,112,Red
Jimmie Rivera,Cody Stamann,-141,112,Red
Molly McCann,Taila Santos,-152,120,Blue
Abdul Razak Alhassan,Mounir Lazzez,-345,260,Blue
John Phillips,Khamzat Chimaev,271,-375,Blue
Ricardo Ramos,Lerone Murphy,-162,130,Blue
Modestas Bukauskas,Andreas Michailidis,-177,140,Red
Jared Gordon,Chris Fishgold,-143,115,Red
Diana Belbita,Liana Jojua,-195,155,Blue
Jack Shore,Aaron Phillips,-715,475,Red
Kamaru Usman,Jorge Masvidal,-240,190,Red
Alexander Volkanovski,Max Holloway,-210,170,Red
Petr Yan,Jose Aldo,-215,175,Red
Jessica Andrade,Rose Namajunas,175,-215,Blue
Amanda Ribas,Paige VanZant,-770,500,Red
Volkan Oezdemir,Jiri Prochazka,-159,129,Blue
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,Blue
Makwan Amirkhani,Danny Henry,-215,170,Red
Leonardo Santos,Roman Bogatov,-177,145,Red
Marcin Tybura,Maxim Grishin,-112,-112,Red
Raulian Paiva,Zhalgas Zhamagulov,-180,142,Red
Karol Rosa,Vanessa Melo,-250,195,Red
Martin Day,Davey Grant,-162,130,Blue
Dustin Poirier,Dan Hooker,-225,180,Red
Mike Perry,Mickey Gall,-315,235,Red
Brendan Allen,Kyle Daukaus,-305,235,Red
Gian Villante,Maurice Greene,180,-230,Blue
Luis Pena,Khama Worthy,-250,195,Blue
Mara Romero Borella,Miranda Maverick,230,-305,Red
Philipe Lins,Tanner Boser,-112,-112,Blue
Sean Woodson,Julian Erosa,-455,325,Blue
Takashi Sato,Jason Witt,-278,215,Red
Kay Hansen,Jinh Yu Frey,-175,138,Red
Jordan Griffin,Youssef Zalal,-106,-114,Blue
Curtis Blaydes,Alexander Volkov,-400,325,Red
Josh Emmett,Shane Burgos,120,-140,Red
Raquel Pennington,Marion Reneau,-160,140,Red
Belal Muhammad,Lyman Good,-130,110,Red
Jim Miller,Roosevelt Roberts,200,-240,Red
Clay Guida,Bobby Green,195,-235,Blue
Tecia Torres,Brianna Van Buren,175,-210,Red
Marc-Andre Barriault,Oskar Piechota,100,-120,Red
Cortney Casey,Gillian Robertson,100,-120,Blue
Frank Camacho,Justin Jaynes,-340,280,Blue
Roxanne Modafferi,Lauren Murphy,-125,105,Blue
Austin Hubbard,Max Rohskopf,160,-185,Red
Jessica Eye,Cynthia Calvillo,120,-130,Blue
Karl Roberson,Marvin Vettori,210,-230,Blue
Charles Rosa,Kevin Aguilar,170,-185,Red
Andre Fili,Charles Jourdain,-220,200,Red
Jordan Espinosa,Mark De La Rosa,-167,157,Red
Mariya Agapova,Hannah Cifers,-335,305,Red
Merab Dvalishvili,Gustavo Lopez,-800,635,Red
Julia Avila,Gina Mazany,-575,485,Red
Tyson Nam,Zarrukh Adashev,-135,125,Red
Anthony Ivy,Christian Aguilera,-185,170,Blue
Amanda Nunes,Felicia Spencer,-600,450,Red
Raphael Assuncao,Cody Garbrandt,120,-140,Blue
Aljamain Sterling,Cory Sandhagen,-115,-105,Red
Neil Magny,Anthony Rocco Martin,-135,115,Red
Eddie Wineland,Sean O'Malley,400,-500,Blue
Alex Caceres,Chase Hooper,168,-195,Red
Ian Heinisch,Gerald Meerschaert,-130,110,Red
Cody Stamann,Brian Kelleher,-250,210,Red
Charles Byrd,Maki Pitolo,-175,155,Blue
Jussier Formiga,Alex Perez,115,-135,Blue
Alonzo Menifield,Devin Clark,-225,185,Blue
Evan Dunham,Herbert Burns,185,-225,Blue
Tyron Woodley,Gilbert Burns,-170,150,Blue
Blagoy Ivanov,Augusto Sakai,-105,-115,Blue
Billy Quarantillo,Spike Carlyle,-130,110,Red
Roosevelt Roberts,Brok Weaver,-360,300,Red
Mackenzie Dern,Hannah Cifers,-420,335,Red
Katlyn Chookagian,Antonina Shevchenko,110,-130,Red
Daniel Rodriguez,Gabe Green,-335,275,Red
Jamahal Hill,Klidson Abreu,-117,-103,Red
Tim Elliott,Brandon Royval,-162,142,Blue
Louis Smolka,Casey Kenney,230,-270,Blue
Chris Gutierrez,Vince Morales,-110,-110,Red
Alistair Overeem,Walt Harris,135,-155,Red
Claudia Gadelha,Angela Hill,-255,215,Red
Dan Ige,Edson Barboza,112,-132,Red
Krzysztof Jotko,Eryk Anders,-105,-105,Red
Song Yadong,Marlon Vera,-200,170,Red
Miguel Baeza,Matt Brown,-155,-155,Red
Kevin Holland,Anthony Hernandez,-110,-110,Red
Giga Chikadze,Irwin Rivera,-420,335,Red
Nate Landwehr,Darren Elkins,100,-120,Red
Cortney Casey,Mara Romero Borella,-185,160,Red
Rodrigo Nascimento,Don'Tale Mayes,-115,-105,Red
Anthony Smith,Glover Teixeira,-175,155,Blue
Ben Rothwell,Ovince Saint Preux,112,-132,Red
Alexander Hernandez,Drew Dober,100,-120,Blue
Ricky Simon,Ray Borg,-170,150,Red
Andrei Arlovski,Philipe Lins,130,-150,Red
Michael Johnson,Thiago Moises,-110,-110,Blue
Sijara Eubanks,Sarah Moras,-370,310,Red
Gabriel Benitez,Omar Morales,160,-185,Blue
Hunter Azure,Brian Kelleher,-200,170,Blue
Chase Sherman,Ike Villanueva,-160,140,Red
Vicente Luque,Niko Price,-290,245,Red
Bryce Mitchell,Charles Rosa,-155,135,Red
Ryan Spann,Sam Alvey,-420,335,Red
Anthony Pettis,Donald Cerrone,-135,115,Red
Aleksei Oleinik,Fabricio Werdum,270,-330,Red
Carla Esparza,Michelle Waterson,-155,135,Red
Uriah Hall,Jacare Souza,115,-135,Red
Tony Ferguson,Justin Gaethje,-180,158,Blue
Henry Cejudo,Dominick Cruz,-225,185,Red
Francis Ngannou,Jairzinho Rozenstruik,-265,225,Red
Jeremy Stephens,Calvin Kattar,210,-250,Blue
Greg Hardy,Yorgan De Castro,-200,170,Red
Kevin Lee,Charles Oliveira,-145,135,Blue
Demian Maia,Gilbert Burns,160,-170,Blue
Renato Moicano,Damir Hadzovic,-345,315,Red
Johnny Walker,Nikita Krylov,-137,127,Blue
Francisco Trinaldo,John Makdessi,-160,150,Red
Jussier Formiga,Brandon Moreno,-150,140,Blue
Amanda Ribas,Randa Markos,-345,315,Red
Elizeu Dos Santos,Aleksei Kunchenko,-122,112,Red
Mayra Bueno Silva,Maryna Moroz,-140,130,Blue
Bruno Silva,David Dvorak,-110,100,Blue
Veronica Macedo,Bea Malecki,-155,145,Blue
Israel Adesanya,Yoel Romero,-260,240,Red
Weili Zhang,Joanna Jedrzejczyk,-185,170,Red
Beneil Dariush,Drakkar Klose,-162,152,Red
Neil Magny,Li Jingliang,157,-167,Red
Alex Oliveira,Max Griffin,-125,115,Red
Sean O'Malley,Jose Quinonez,-330,300,Red
Mark Madsen,Austin Hubbard,-215,195,Red
Rodolfo Vieira,Saparbeg Safarov,-570,480,Red
Gerald Meerschaert,Deron Winn,125,-135,Red
Jamall Emmers,Giga Chikadze,-170,160,Blue
Danaa Batgerel,Guido Cannetti,-120,110,Red
Joseph Benavidez,Deiveson Figueiredo,-150,130,Blue
Felicia Spencer,Zarah Fairn,-870,585,Red
Ion Cutelaba,Magomed Ankalaev,185,-225,Blue
Megan Anderson,Norma Dumont,-245,205,Red
Grant Dawson,Darrick Minner,-475,380,Red
Gabriel Silva,Kyler Phillips,-130,110,Blue
Brendan Allen,Tom Breese,110,-130,Red
Luis Pena,Steve Garcia,-270,230,Red
Marcin Tybura,Serghei Spivac,100,-120,Red
Jordan Griffin,TJ Brown,-135,115,Red
Aalon Cruz,Spike Carlyle,-190,165,Blue
