Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Mike Santiago,Zabit Magomedsharipov,325,-400,Blue
Bojan Mihajlovic,Abdul-Kerim Edilov,485,-670,Blue
Thibault Gouti,Andrew Holbrook,155,-175,Red
Sergio Pettis,Brandon Moreno,155,-175,Red
Randa Markos,Alexa Grasso,180,-220,Blue
Alan Jouban,Niko Price,-165,145,Blue
Martin Bravo,Humberto Bandenay,-300,250,Blue
Sam Alvey,Rashad Evans,-130,110,Red
Alejandro Perez,Andre Soukhamthath,-165,145,Red
Bradley Scott,Jack Hermansson,240,-280,Blue
Dustin Ortiz,Hector Sandoval,-175,155,Red
Henry Briones,Rani Yahya,190,-230,Blue
Jose Quinonez,Diego Rivas,-245,205,Red
Joseph Morales,Roberto Sanchez,100,-120,Red
Alvaro Herrera,Jordan Rinaldi,185,-225,Blue
Tyron Woodley,Demian Maia,-220,180,Red
Cris Cyborg,Tonya Evinger,-1250,800,Red
Robbie Lawler,Donald Cerrone,-155,135,Red
Jimi Manuwa,Volkan Oezdemir,-175,155,Blue
Ricardo Lamas,Jason Knight,-105,-115,Red
Aljamain Sterling,Renan Barao,110,-130,Red
Brian Ortega,Renato Moicano,160,-185,Red
Andre Fili,Calvin Kattar,-175,155,Blue
Kailin Curran,Alexandra Albu,155,-175,Blue
Eric Shelton,Jarred Brooks,125,-145,Blue
Joshua Burkman,Drew Dober,255,-310,Blue
Chris Weidman,Kelvin Gastelum,135,-155,Red
Dennis Bermudez,Darren Elkins,-210,175,Blue
Patrick Cummins,Gian Villante,175,-210,Red
Jimmie Rivera,Thomas Almeida,-185,160,Red
Lyman Good,Elizeu Zaleski dos Santos,-150,130,Blue
Rafael Natal,Eryk Anders,-105,-115,Blue
Ryan LaFlare,Alex Oliveira,-175,155,Blue
Damian Grabowski,Chase Sherman,205,-245,Blue
Kyle Bochniak,Jeremy Kennedy,245,-290,Blue
Brian Kelleher,Marlon Vera,-235,195,Blue
Tim Johnson,Junior Albini,-280,240,Blue
Shane Burgos,Godofredo Pepey,-700,500,Red
Frankie Perez,Chris Wade,300,-360,Blue
Gunnar Nelson,Santiago Ponzinibbio,-174,164,Blue
Joanne Calderwood,Cynthia Calvillo,180,-220,Blue
Stevie Ray,Paul Felder,-185,160,Blue
Jack Marshman,Ryan Janes,-500,400,Red
Khalil Rountree Jr.,Paul Craig,-145,125,Red
James Mulheron,Justin Willis,130,-140,Blue
Danny Roberts,Bobby Nash,-190,165,Red
Alexandre Pantoja,Neil Seery,-350,290,Red
Charlie Ward,Galore Bofando,175,-210,Blue
Danny Henry,Daniel Teymur,150,-170,Red
Brett Johns,Albert Morales,-350,290,Red
Leslie Smith,Amanda Lemos,-225,185,Red
Yoel Romero,Robert Whittaker,110,-130,Blue
Fabricio Werdum,Alistair Overeem,120,-140,Blue
Daniel Omielanczuk,Curtis Blaydes,470,-640,Blue
Anthony Pettis,Jim Miller,-235,195,Red
Rob Font,Douglas Silva de Andrade,-265,225,Red
Travis Browne,Aleksei Oleinik,-290,245,Blue
Chad Laprise,Brian Camozzi,-550,425,Red
Thiago Santos,Gerald Meerschaert,-160,140,Red
Jordan Mein,Belal Muhammad,115,-135,Blue
Cody Stamann,Terrion Ware,-245,205,Red
Trevin Giles,James Bochnovic,-250,210,Red
Michael Johnson,Justin Gaethje,-165,145,Blue
Dhiego Lima,Jesse Taylor,150,-170,Blue
Jared Cannonier,Nick Roehrick,-350,290,Red
Brad Tavares,Elias Theodorou,-115,-105,Red
Jordan Johnson,Marcel Fortuna,-190,165,Red
Angela Hill,Ashley Yoder,-340,280,Red
James Krause,Tom Gallicchio,-550,425,Red
Ed Herman,CB Dollaway,125,-145,Blue
Tecia Torres,Juliana Lima,-470,375,Red
Gray Maynard,Teruto Ishihara,285,-345,Red
Michael Chiesa,Kevin Lee,125,-145,Blue
Tim Boetsch,Johny Hendricks,125,-145,Red
Felice Herrig,Justine Kish,140,-160,Red
Tim Means,Alex Garcia,-310,255,Red
BJ Penn,Dennis Siver,115,-135,Blue
Clay Guida,Erik Koch,290,-350,Red
Vitor Miranda,Marvin Vettori,315,-380,Blue
Devin Powell,Darrell Horcher,360,-450,Blue
Jared Gordon,Michel Quinones,-135,115,Red
Anthony Rocco Martin,Johnny Case,-125,105,Red
Josh Stansbury,Jeremy Kimball,-160,140,Blue
Holly Holm,Bethe Correia,-570,435,Red
Andrei Arlovski,Marcin Tybura,190,-230,Blue
Dong Hyun Kim,Colby Covington,200,-240,Blue
Tarec Saffiedine,Rafael Dos Anjos,170,-200,Blue
Takanori Gomi,Jon Tuck,325,-360,Blue
Cyril Asker,Walt Harris,300,-360,Blue
Alex Caceres,Rolando Dy,-320,260,Red
Justin Scoggins,Ulka Sasaki,-525,415,Blue
Kwan Ho Kwak,Russell Doane,-120,100,Blue
Naoki Inoue,Carls John De Tomas,-275,235,Red
Ji Yeon Kim,Lucie Pudilova,100,-120,Blue
Derrick Lewis,Mark Hunt,-150,130,Blue
Derek Brunson,Daniel Kelly,-250,210,Red
Dan Hooker,Ross Pearson,-145,125,Red
Ion Cutelaba,Henrique da Silva,-305,275,Red
Tim Elliott,Ben Nguyen,-170,160,Blue
Alexander Volkanovski,Mizuto Hirota,-580,440,Red
Damien Brown,Vinc Pichel,105,-125,Blue
Luke Jumeau,Dominique Steele,175,-210,Red
John Moraga,Ashkan Mokhtarian,-210,175,Red
Kiichi Kunimoto,Zak Ottow,310,-370,Blue
JJ Aldrich,Chanmi Jeon,-200,170,Red
Jose Aldo,Max Holloway,-145,125,Blue
Claudia Gadelha,Karolina Kowalkiewicz,-280,240,Red
Vitor Belfort,Nate Marquardt,-180,158,Red
Paulo Costa,Oluwale Bamgbose,-265,225,Red
Erick Silva,Yancy Medeiros,120,-140,Blue
Raphael Assuncao,Marlon Moraes,220,-260,Red
Johnny Eduardo,Matthew Lopez,-110,-110,Blue
Iuri Alcantara,Brian Kelleher,-380,315,Blue
Viviane Pereira,Jamie Moyle,-180,158,Red
Luan Chagas,Jimmy Wallhead,-260,220,Red
Alexander Gustafsson,Glover Teixeira,-300,250,Red
Volkan Oezdemir,Misha Cirkunov,375,-470,Red
Peter Sobotta,Ben Saunders,-135,115,Red
Abdul Razak Alhassan,Omari Akhmedov,-275,235,Blue
Oliver Enkamp,Nordine Taleb,275,-335,Blue
Jack Hermansson,Alex Nicholson,-165,145,Red
Pedro Munhoz,Damian Stasiak,-670,485,Red
Trevor Smith,Chris Camozzi,130,-150,Red
Reza Madadi,Joaquim Silva,135,-155,Blue
Nico Musoke,Bojan Velickovic,-130,110,Blue
Darren Till,Jessin Ayari,-275,235,Red
Marcin Held,Damir Hadzovic,-290,245,Blue
Stipe Miocic,Junior Dos Santos,-165,145,Red
Joanna Jedrzejczyk,Jessica Andrade,-190,165,Red
Demian Maia,Jorge Masvidal,-115,-105,Red
Frankie Edgar,Yair Rodriguez,-140,120,Red
Krzysztof Jotko,David Branch,-170,150,Blue
Chas Skelly,Jason Knight,-110,-110,Blue
Chase Sherman,Rashad Coulter,-110,-110,Red
James Vick,Polo Reyes,-355,320,Red
Jessica Aguilar,Cortney Casey,140,-160,Blue
Gabriel Benitez,Enrique Barzola,-135,115,Blue
Joachim Christensen,Gadzhimurad Antigulov,315,-380,Blue
Cub Swanson,Artem Lobov,-600,450,Red
Al Iaquinta,Diego Sanchez,-420,335,Red
Ovince Saint Preux,Marcos Rogerio de Lima,-160,140,Red
John Dodson,Eddie Wineland,-400,325,Red
Joe Lauzon,Stevie Ray,145,-165,Blue
Jake Ellenberger,Mike Perry,105,-125,Blue
Thales Leites,Sam Alvey,-125,105,Red
Dustin Ortiz,Brandon Moreno,-120,100,Blue
Scott Holtzman,Michael McBride,-280,240,Red
Jessica Penne,Danielle Taylor,-110,-110,Blue
Alexis Davis,Cindy Dandois,-290,245,Red
Bryan Barberena,Joe Proctor,-330,270,Red
Hector Sandoval,Matt Schnell,130,-150,Red
Demetrious Johnson,Wilson Reis,-1100,700,Red
Rose Namajunas,Michelle Waterson,110,-130,Red
Jacare Souza,Robert Whittaker,-265,225,Blue
Jeremy Stephens,Renato Moicano,-170,150,Blue
Alexander Volkov,Roy Nelson,-155,135,Red
Patrick Williams,Tom Duquesnoy,650,-1000,Blue
Bobby Green,Rashid Magomedov,270,-330,Blue
Louis Smolka,Tim Elliott,160,-185,Blue
Aljamain Sterling,Augusto Mendes,-400,325,Red
Devin Clark,Jake Collier,-140,120,Red
Anthony Smith,Andrew Sanchez,270,-330,Red
Zak Cummings,Nathan Coy,-550,425,Red
Ashlee Evans-Smith,Ketlen Vieira,-165,145,Blue
Daniel Cormier,Anthony Johnson,120,-140,Red
Chris Weidman,Gegard Mousasi,-105,-115,Blue
Cynthia Calvillo,Pearl Gonzalez,-280,240,Red
Thiago Alves,Patrick Cote,110,-130,Red
Will Brooks,Charles Oliveira,-220,180,Blue
Myles Jury,Mike de la Torre,-450,360,Red
Kamaru Usman,Sean Strickland,-290,245,Red
Shane Burgos,Charles Rosa,-255,215,Red
Patrick Cummins,Jan Blachowicz,-105,-115,Red
Gregor Gillespie,Andrew Holbrook,-290,245,Red
Josh Emmett,Desmond Green,-200,170,Blue
Katlyn Chookagian,Irene Aldana,-135,115,Red
Jenel Lausa,Magomed Bibulatov,470,-640,Blue
Jimi Manuwa,Corey Anderson,-145,125,Red
Gunnar Nelson,Alan Jouban,-335,275,Red
Brad Pickett,Marlon Vera,-150,130,Blue
Arnold Allen,Makwan Amirkhani,-115,-105,Red
Joe Duffy,Reza Madadi,-550,425,Red
Darren Stewart,Francimar Barroso,-210,175,Blue
Daniel Omielanczuk,Tim Johnson,170,-200,Blue
Leon Edwards,Vicente Luque,100,-120,Red
Marc Diakiese,Teemu Packalen,-175,155,Red
Bradley Scott,Scott Askham,135,-155,Red
Lina Lansberg,Lucie Pudilova,-400,325,Red
Mauricio Rua,Gian Villante,-155,135,Red
Edson Barboza,Beneil Dariush,-160,140,Red
Jussier Formiga,Ray Borg,110,-130,Blue
Alex Oliveira,Tim Means,175,-210,Red
Francisco Trinaldo,Kevin Lee,150,-170,Blue
Sergio Moraes,Davi Ramos,-200,170,Red
Rani Yahya,Joe Soto,-240,200,Blue
Michel Prazeres,Joshua Burkman,-300,250,Red
Rony Jason,Jeremy Kennedy,105,-125,Blue
Garreth McLellan,Paulo Costa,280,-340,Blue
Tyron Woodley,Stephen Thompson,120,-140,Red
Lando Vannata,David Teymur,-360,300,Blue
Rashad Evans,Daniel Kelly,-245,205,Blue
Amanda Cooper,Cynthia Calvillo,150,-170,Blue
Alistair Overeem,Mark Hunt,-130,110,Red
Marcin Tybura,Luis Henrique,-175,155,Red
Mirsad Bektic,Darren Elkins,-750,525,Blue
Iuri Alcantara,Luke Sanders,130,-150,Red
Mark Godbeer,Daniel Spitz,-145,125,Red
Tyson Pedro,Paul Craig,-140,120,Red
Albert Morales,Andre Soukhamthath,-150,130,Red
Derrick Lewis,Travis Browne,-105,-115,Red
Johny Hendricks,Hector Lombard,110,-130,Red
Sam Sicilia,Gavin Tucker,130,-160,Blue
Elias Theodorou,Cezar Ferreira,-105,-115,Red
Sara McMann,Gina Mazany,-800,550,Red
Paul Felder,Alessandro Ricci,-370,310,Red
Nordine Taleb,Santiago Ponzinibbio,265,-325,Blue
Carla Esparza,Randa Markos,-260,200,Blue
Aiemann Zahabi,Reginaldo Vieira,-275,235,Red
Jack Marshman,Thiago Santos,145,-165,Blue
Gerald Meerschaert,Ryan Janes,-300,250,Red
Holly Holm,Germaine de Randamie,100,-130,Blue
Anderson Silva,Derek Brunson,100,-120,Red
Jacare Souza,Tim Boetsch,-600,450,Red
Glover Teixeira,Jared Cannonier,-230,190,Red
Dustin Poirier,Jim Miller,-450,360,Red
Randy Brown,Belal Muhammad,-145,115,Blue
Wilson Reis,Ulka Sasaki,485,-670,Red
Nik Lentz,Islam Makhachev,270,-330,Blue
Rick Glenn,Phillipe Nover,-175,155,Red
Ryan LaFlare,Roan Carneiro,-325,250,Red
Dennis Bermudez,Chan Sung Jung,-185,160,Blue
Alexa Grasso,Felice Herrig,-380,315,Blue
Abel Trujillo,James Vick,115,-135,Blue
Ovince Saint Preux,Volkan Oezdemir,-420,335,Blue
Anthony Hamilton,Marcel Fortuna,-270,230,Blue
Jessica Andrade,Angela Hill,-800,550,Red
Chas Skelly,Chris Gruetzemacher,-350,290,Red
Ricardo Ramos,Michinori Tanaka,105,-125,Red
Tecia Torres,Bec Rawlings,-450,317,Red
Daniel Jolly,Khalil Rountree Jr.,145,-185,Blue
Valentina Shevchenko,Julianna Pena,-185,160,Red
Donald Cerrone,Jorge Masvidal,-175,155,Blue
Andrei Arlovski,Francis Ngannou,335,-420,Blue
Alex Caceres,Jason Knight,115,-135,Blue
Nate Marquardt,Sam Alvey,120,-140,Blue
Raphael Assuncao,Aljamain Sterling,-145,125,Red
Bobby Nash,Li Jingliang,110,-130,Blue
Henrique da Silva,Jordan Johnson,165,-190,Blue
Eric Spicely,Alessio Di Chirico,-110,-110,Red
Marcos Rogerio de Lima,Jeremy Kimball,-130,110,Red
Alexandre Pantoja,Eric Shelton,100,-120,Red
Jason Gonzalez,JC Cottrell,105,-125,Red
Yair Rodriguez,BJ Penn,-350,290,Red
Joe Lauzon,Marcin Held,-140,120,Red
Court McGee,Ben Saunders,-135,115,Blue
John Moraga,Sergio Pettis,140,-160,Blue
Devin Powell,Drakkar Klose,260,-320,Blue
Frankie Saenz,Augusto Mendes,-160,140,Blue
Aleksei Oleinik,Viktor Pesta,-140,120,Red
Anthony Rocco Martin,Alex White,-170,150,Red
Jocelyn Jones-Lybarger,Nina Ansaroff,135,-175,Blue
Walt Harris,Chase Sherman,-155,135,Red
Bojan Mihajlovic,Joachim Christensen,210,-250,Blue
Dmitrii Smoliakov,Cyril Asker,100,-120,Blue
Amanda Nunes,Ronda Rousey,165,-190,Red
Dominick Cruz,Cody Garbrandt,-245,205,Blue
TJ Dillashaw,John Lineker,-230,190,Red
Dong Hyun Kim,Tarec Saffiedine,-145,125,Red
Louis Smolka,Ray Borg,120,-140,Blue
Johny Hendricks,Neil Magny,170,-200,Blue
Antonio Carlos Junior,Marvin Vettori,-120,100,Red
Mike Pyle,Alex Garcia,180,-220,Blue
Brandon Thatch,Niko Price,-155,135,Blue
Paige VanZant,Michelle Waterson,-110,-110,Blue
Sage Northcutt,Mickey Gall,140,-160,Blue
Urijah Faber,Brad Pickett,-340,280,Red
Alan Jouban,Mike Perry,125,-145,Red
Henrique da Silva,Paul Craig,-230,190,Blue
Cole Miller,Mizuto Hirota,-115,-105,Blue
Bryan Barberena,Colby Covington,300,-360,Blue
James Moontasri,Alex Morono,-135,115,Blue
Josh Emmett,Scott Holtzman,-195,168,Red
Leslie Smith,Irene Aldana,255,-310,Red
Eddie Wineland,Takeya Mizugaki,-170,150,Red
Hector Sandoval,Fredy Serrano,-125,105,Red
Bojan Velickovic,Sultan Aliev,-160,140,Blue
Max Holloway,Anthony Pettis,-300,250,Red
Donald Cerrone,Matt Brown,-300,250,Red
Cub Swanson,Dooho Choi,195,-235,Red
Tim Kennedy,Kelvin Gastelum,-125,105,Blue
Jordan Mein,Emil Meek,-170,150,Blue
Nikita Krylov,Misha Cirkunov,-115,-105,Blue
Olivier Aubin-Mercier,Drew Dober,-185,160,Red
Valerie Letourneau,Viviane Pereira,-120,100,Blue
Mitch Gagnon,Matthew Lopez,-130,110,Blue
John Makdessi,Lando Vannata,135,-155,Blue
Jason Saggo,Rustam Khabilov,180,-220,Blue
Zach Makovsky,Dustin Ortiz,-130,110,Blue
Derrick Lewis,Shamil Abdurakhimov,-250,210,Red
Francis Ngannou,Anthony Hamilton,-440,350,Red
Corey Anderson,Sean O'Connell,-400,325,Red
Gian Villante,Saparbeg Safarov,-190,165,Red
Justine Kish,Ashley Yoder,-230,190,Red
Randy Brown,Brian Camozzi,-150,130,Red
Joe Gigliotti,Gerald Meerschaert,170,-200,Blue
Andrew Sanchez,Trevor Smith,-200,170,Red
Tiago Trator,Shane Burgos,165,-190,Blue
Frankie Perez,Marc Diakiese,220,-260,Blue
Keith Berish,Ryan Janes,130,-150,Blue
Juliana Lima,JJ Aldrich,-230,190,Red
Demetrious Johnson,Tim Elliott,-900,600,Red
Joseph Benavidez,Henry Cejudo,-200,163,Red
Jake Ellenberger,Jorge Masvidal,175,-210,Blue
Ion Cutelaba,Jared Cannonier,-230,190,Blue
Sara McMann,Alexis Davis,-155,135,Red
Brandon Moreno,Ryan Benoit,-190,165,Red
Gray Maynard,Ryan Hall,145,-165,Blue
Rob Font,Matt Schnell,-270,230,Red
Dong Hyun Ma,Brendan O'Reilly,-150,130,Red
Kailin Curran,Jamie Moyle,-120,100,Blue
Elvis Mutapcic,Anthony Smith,-105,-115,Blue
Josh Stansbury,Devin Clark,-105,-115,Blue
Robert Whittaker,Derek Brunson,100,-120,Red
Jake Matthews,Andrew Holbrook,-550,425,Blue
Kyle Noke,Omari Akhmedov,-110,-110,Blue
Yusuke Kasuya,Alexander Volkanovski,135,-155,Blue
Khalil Rountree Jr.,Tyson Pedro,-105,-115,Blue
Seohee Ham,Danielle Taylor,-110,-110,Blue
Daniel Kelly,Chris Camozzi,165,-190,Red
Damien Brown,Jon Tuck,130,-150,Red
Richard Walsh,Jonathan Meunier,-135,115,Blue
Ben Nguyen,Geane Herrera,-140,120,Red
Dan Hooker,Jason Knight,-145,125,Blue
Marlon Vera,Ning Guangyou,-110,-110,Red
Yao Zhikui,Jenel Lausa,115,-135,Blue
Ryan Bader,Rogerio Nogueira,-340,280,Red
Thomas Almeida,Albert Morales,-300,250,Red
Claudia Gadelha,Cortney Casey,-460,365,Red
Thales Leites,Krzysztof Jotko,-135,115,Blue
Warlley Alves,Kamaru Usman,175,-210,Blue
Sergio Moraes,Zak Ottow,-150,130,Red
Cezar Ferreira,Jack Hermansson,110,-130,Red
Marcos Rogerio de Lima,Gadzhimurad Antigulov,-165,145,Blue
Johnny Eduardo,Manvel Gamburyan,-140,120,Red
Luis Henrique,Christian Colombo,-290,245,Red
Pedro Munhoz,Justin Scoggins,135,-155,Red
Gegard Mousasi,Uriah Hall,-560,430,Red
Ross Pearson,Stevie Ray,-105,-115,Blue
Tim Johnson,Alexander Volkov,-150,130,Blue
Artem Lobov,Teruto Ishihara,220,-260,Red
Magnus Cedenblad,Jack Marshman,-250,210,Blue
Kyoji Horiguchi,Ali Bagautinov,-200,170,Red
Kevin Lee,Magomed Mustafaev,-145,125,Red
Anna Elmose,Amanda Cooper,-140,120,Blue
Justin Ledet,Mark Godbeer,-140,130,Red
Zak Cummings,Alexander Yakovlev,-170,150,Red
Marion Reneau,Milana Dudieva,-225,185,Red
Brett Johns,Kwan Ho Kwak,-220,180,Red
Charlie Ward,Abdul Razak Alhassan,270,-330,Blue
Eddie Alvarez,Conor McGregor,140,-160,Blue
Joanna Jedrzejczyk,Karolina Kowalkiewicz,-400,325,Red
Chris Weidman,Yoel Romero,-220,180,Blue
Miesha Tate,Raquel Pennington,-140,120,Blue
Frankie Edgar,Jeremy Stephens,-325,265,Red
Khabib Nurmagomedov,Michael Johnson,-345,285,Red
Rafael Natal,Tim Boetsch,-145,125,Blue
Vicente Luque,Belal Muhammad,-125,105,Red
Jim Miller,Thiago Alves,135,-155,Red
Liz Carmouche,Katlyn Chookagian,145,-165,Red
Rafael Dos Anjos,Tony Ferguson,-140,120,Blue
Diego Sanchez,Marcin Held,250,-300,Red
Ricardo Lamas,Charles Oliveira,-110,-110,Red
Martin Bravo,Claudio Puelles,-105,-115,Red
Beneil Dariush,Rashid Magomedov,-115,-105,Red
Alexa Grasso,Heather Jo Clark,-620,460,Red
Erik Perez,Felipe Arantes,-240,200,Red
Marco Beltran,Joe Soto,-135,115,Blue
Erick Montano,Max Griffin,125,-135,Blue
Henry Briones,Douglas Silva de Andrade,-105,-115,Blue
Sam Alvey,Alex Nicholson,-165,145,Red
Polo Reyes,Jason Novelli,-155,135,Red
Enrique Barzola,Chris Avila,-550,425,Red
Michael Bisping,Dan Henderson,-260,220,Red
Vitor Belfort,Gegard Mousasi,300,-360,Blue
Ovince Saint Preux,Jimi Manuwa,-145,125,Blue
Stefan Struve,Daniel Omielanczuk,-190,165,Red
Mirsad Bektic,Russell Doane,-580,440,Red
Brad Pickett,Iuri Alcantara,130,-150,Blue
Davey Grant,Damian Stasiak,-190,165,Blue
Leon Edwards,Albert Tumenov,150,-170,Red
Lukasz Sajewski,Marc Diakiese,245,-290,Blue
Danny Roberts,Mike Perry,110,-130,Blue
Leonardo Santos,Adriano Martins,175,-210,Red
John Lineker,John Dodson,105,-125,Red
Will Brooks,Alex Oliveira,-320,260,Blue
Joshua Burkman,Zak Ottow,-260,220,Blue
Louis Smolka,Brandon Moreno,-525,450,Blue
Henrique da Silva,Joachim Christensen,-135,115,Red
Hacran Dias,Andre Fili,-150,130,Blue
Shamil Abdurakhimov,Walt Harris,-145,125,Red
Keita Nakamura,Elizeu Zaleski dos Santos,-125,105,Blue
Nate Marquardt,Tamdan McCrory,140,-160,Red
Jonathan Wilson,Ion Cutelaba,100,-120,Blue
Cody East,Curtis Blaydes,195,-235,Blue
Kelly Faszholz,Ketlen Vieira,-115,-105,Blue
Cris Cyborg,Lina Lansberg,-1000,650,Red
Renan Barao,Phillipe Nover,-640,470,Red
Roy Nelson,Antonio Silva,-420,335,Red
Francisco Trinaldo,Paul Felder,-155,135,Red
Thiago Santos,Eric Spicely,-800,550,Blue
Godofredo Pepey,Mike de la Torre,-110,-110,Red
Gilbert Burns,Michel Prazeres,-245,205,Blue
Rani Yahya,Michinori Tanaka,-105,-115,Red
Jussier Formiga,Dustin Ortiz,-210,175,Red
Erick Silva,Luan Chagas,130,-150,Red
Alan Patrick,Stevie Ray,145,-165,Red
Vicente Luque,Hector Urbina,-580,440,Red
Glaico Franca,Gregor Gillespie,-140,120,Blue
Dustin Poirier,Michael Johnson,-165,145,Blue
Uriah Hall,Derek Brunson,160,-185,Blue
Evan Dunham,Rick Glenn,-340,280,Red
Roan Carneiro,Kenny Robertson,100,-120,Red
Chris Wade,Islam Makhachev,115,-135,Blue
Chas Skelly,Maximo Blanco,-150,130,Red
Gabriel Benitez,Sam Sicilia,100,-120,Red
Augusto Montano,Belal Muhammad,375,-470,Blue
Antonio Carlos Junior,Leonardo Augusto Leleco,-280,240,Red
Jose Quinonez,Joey Gomez,125,-145,Red
Erick Montano,Randy Brown,425,-550,Blue
Stipe Miocic,Alistair Overeem,-145,125,Red
Fabricio Werdum,Travis Browne,-265,225,Red
CM Punk,Mickey Gall,345,-430,Blue
Urijah Faber,Jimmie Rivera,150,-170,Blue
Jessica Andrade,Joanne Calderwood,-130,110,Red
Jessica Eye,Bethe Correia,-125,105,Blue
Brad Tavares,Caio Magalhaes,-220,180,Red
Nik Lentz,Michael McBride,-550,425,Red
Drew Dober,Jason Gonzalez,-150,130,Red
Yancy Medeiros,Sean Spencer,-130,110,Red
Andrei Arlovski,Josh Barnett,110,-130,Blue
Alexander Gustafsson,Jan Blachowicz,-700,500,Red
Ryan Bader,Ilir Latifi,-170,150,Red
Nick Hein,Tae Hyun Bang,-335,275,Red
Jessin Ayari,Jimmy Wallhead,110,-130,Red
Peter Sobotta,Nicolas Dalby,170,-200,Red
Ashlee Evans-Smith,Veronica Macedo,-240,200,Red
Taylor Lapilus,Leandro Issa,-160,140,Red
Scott Askham,Jack Hermansson,-105,-115,Blue
Rustam Khabilov,Leandro Silva,-450,360,Red
Demian Maia,Carlos Condit,115,-135,Red
Anthony Pettis,Charles Oliveira,-165,145,Red
Paige VanZant,Bec Rawlings,-210,175,Red
Joe Lauzon,Jim Miller,-140,120,Blue
Sam Alvey,Kevin Casey,-270,230,Red
Enrique Barzola,Kyle Bochniak,115,-135,Blue
Garreth McLellan,Alessio Di Chirico,270,-330,Blue
Shane Campbell,Felipe Silva,-160,140,Blue
Chad Laprise,Thibault Gouti,-320,290,Red
Jeremy Kennedy,Alessandro Ricci,-145,125,Red
Nate Diaz,Conor McGregor,115,-135,Blue
Anthony Johnson,Glover Teixeira,-240,200,Red
Rick Story,Donald Cerrone,120,-140,Blue
Hyun Gyu Lim,Mike Perry,-275,235,Blue
Tim Means,Sabah Homasi,-420,335,Red
Cody Garbrandt,Takeya Mizugaki,-525,415,Red
Raquel Pennington,Elizabeth Phillips,-320,260,Red
Artem Lobov,Chris Avila,-140,120,Red
Randa Markos,Cortney Casey,-155,135,Blue
Neil Magny,Lorenz Larkin,-140,120,Blue
Colby Covington,Max Griffin,-420,335,Red
Alberto Uda,Marvin Vettori,145,-165,Blue
Yair Rodriguez,Alex Caceres,-335,275,Red
Dennis Bermudez,Rony Jason,-300,250,Red
Thales Leites,Chris Camozzi,-175,155,Red
Santiago Ponzinibbio,Zak Cummings,-110,-110,Red
Trevor Smith,Joe Gigliotti,110,-130,Red
Maryna Moroz,Danielle Taylor,-275,235,Red
Court McGee,Dominique Steele,-150,130,Red
Viktor Pesta,Marcin Tybura,-110,-110,Blue
David Teymur,Jason Novelli,-140,120,Red
Teruto Ishihara,Horacio Gutierrez,-230,190,Red
Cub Swanson,Tatsuya Kawajiri,-330,270,Red
Chase Sherman,Justin Ledet,100,-120,Blue
Robbie Lawler,Tyron Woodley,-120,100,Blue
Rose Namajunas,Karolina Kowalkiewicz,-190,165,Blue
Matt Brown,Jake Ellenberger,-310,255,Blue
Francisco Rivera,Erik Perez,130,-150,Blue
Ryan Benoit,Fredy Serrano,-105,-115,Red
Nikita Krylov,Ed Herman,-240,200,Red
Ross Pearson,Jorge Masvidal,225,-265,Blue
Anthony Hamilton,Damian Grabowski,-135,115,Red
Wilson Reis,Hector Sandoval,-360,300,Red
Cesar Arzamendia,Damien Brown,-105,-115,Blue
Holly Holm,Valentina Shevchenko,-190,165,Blue
Edson Barboza,Gilbert Melendez,-255,215,Red
Francis Ngannou,Bojan Mihajlovic,-600,450,Red
Felice Herrig,Kailin Curran,125,-145,Red
Frankie Saenz,Eddie Wineland,-155,135,Blue
Darren Elkins,Godofredo Pepey,-240,200,Red
Kamaru Usman,Alexander Yakovlev,-250,210,Red
Michel Prazeres,JC Cottrell,-220,180,Red
Alex Oliveira,James Moontasri,-220,180,Red
Jim Alers,Jason Knight,-120,100,Blue
Luis Henrique,Dmitrii Smoliakov,105,-125,Red
Michael McDonald,John Lineker,-115,-105,Blue
Tony Ferguson,Lando Vannata,-800,550,Red
Tim Boetsch,Josh Samman,205,-245,Red
Aleksei Oleinik,Daniel Omielanczuk,-185,160,Blue
Kyle Noke,Keita Nakamura,-155,135,Blue
Louis Smolka,Ben Nguyen,105,-125,Red
Lauren Murphy,Katlyn Chookagian,-170,150,Blue
Eric Spicely,Sam Alvey,235,-275,Blue
Cortney Casey,Cristina Stanciu,140,-160,Red
Scott Holtzman,Cody Pfister,-260,220,Red
Rani Yahya,Matthew Lopez,150,-170,Red
Devin Clark,Alex Nicholson,-220,180,Blue
Miesha Tate,Amanda Nunes,265,-325,Blue
Daniel Cormier,Anderson Silva,-430,345,Red
Jose Aldo,Frankie Edgar,120,-140,Red
Cain Velasquez,Travis Browne,-355,295,Red
Cat Zingano,Julianna Pena,-175,155,Blue
Johny Hendricks,Kelvin Gastelum,-105,-115,Blue
TJ Dillashaw,Raphael Assuncao,-420,335,Red
Sage Northcutt,Enrique Marin,-490,390,Red
Diego Sanchez,Joe Lauzon,-125,105,Blue
Gegard Mousasi,Thiago Santos,-290,245,Red
Jim Miller,Takanori Gomi,-290,245,Red
Joanna Jedrzejczyk,Claudia Gadelha,-130,110,Red
Andrew Sanchez,Khalil Rountree Jr.,-160,140,Red
Tatiana Suarez,Amanda Cooper,-370,310,Red
Ross Pearson,Will Brooks,305,-365,Blue
