Track,Horse,BetType,Odds,Winner
Dundalk,Lex Talionis,Each Way,11,Win
Lingfield,Grendisar,Each Way,3.75,Win
Kempton,Viva Steve,Each Way,19,Lose
Navan,Eric Na Casa,Each Way,5,Lose
Kempton,Mccabe Creek,Each Way,10,Win
Chepstow,Oscar Sunset,Win,3.5,Lose
Fontwell,San Benedeto,Each Way,11,Win
Plumpton,Baratineur,Win,3.25,Win
Ayr,Takingrisks,Win,3.5,Lose
Catterick,General Mahler,Win,3.5,Lose
Lingfield,Blue Bounty,Each Way,4,Lose
Bangor,Not For You,Win,2.62,Lose
Wincanton,Somerset Jem,Each Way,7.5,Win
Wolverhampton,Foylesideview,Each Way,3.75,Lose
